ID,ID_person,Square,Rooms,Price,Rooms_indicator
0,17266,53,2.0,20140,False
1,13084,57,2.0,15846,False
2,11257,111,5.0,37407,False
3,14349,38,1.0,15162,False
4,18661,32,1.0,6784,False
5,16656,45,2.0,9810,False
6,1237,52,3.0,18876,False
7,4942,74,3.0,21460,False
8,11016,75,4.0,23325,False
9,5181,115,6.0,39675,False
10,13644,69,4.0,27117,False
11,344,113,6.0,36273,False
12,7462,53,2.0,18338,False
13,8475,93,5.0,34131,False
14,14632,90,5.0,25560,False
15,658,120,5.0,25560,False
16,14676,120,5.0,24840,False
17,18987,68,3.0,21692,False
18,9201,82,3.0,20418,False
19,1046,31,4.0,6510,True
20,9808,116,5.0,35148,False
21,15580,39,2.0,9438,False
22,10813,101,4.0,30401,False
23,11451,61,3.0,21228,False
24,7481,115,6.0,27140,False
25,14196,101,5.0,23331,False
26,6850,63,3.0,25011,False
27,10564,46,2.0,14628,False
28,17783,57,3.0,19608,False
29,8502,97,4.0,37151,False
30,17297,64,4.0,22080,False
31,12395,37,1.0,8103,False
32,13438,126,7.0,41958,False
33,3260,32,1.0,8128,False
34,4888,47,3.0,9635,False
35,13146,108,6.0,26244,False
36,13270,33,2.0,12441,False
37,1246,121,7.0,38599,False
38,7502,37,4.0,12210,True
39,1141,101,4.0,26462,True
40,15143,127,5.0,36322,False
41,17311,101,4.0,27472,False
42,15534,65,2.0,17940,False
43,12545,42,2.0,13692,False
44,17241,46,2.0,15180,False
45,7272,126,5.0,30870,False
46,13934,66,3.0,18810,False
47,4150,93,5.0,33759,False
48,5290,31,2.0,11036,False
49,8272,47,2.0,15416,False
50,7901,103,4.0,27398,False
51,917,101,5.0,24038,False
52,10882,72,4.0,24120,False
53,11668,31,1.0,11439,False
54,13745,56,3.0,20384,False
55,16290,55,3.0,17435,False
56,5747,106,4.0,30422,True
57,11591,32,1.0,8096,False
58,17558,35,2.0,8330,False
59,6757,71,4.0,21726,False
60,6699,37,1.0,7659,False
61,13374,51,2.0,14841,False
62,7283,99,4.0,36531,False
63,10024,128,6.0,26112,False
64,1870,72,4.0,26568,False
65,12897,58,3.0,13862,False
66,6802,48,2.0,17616,False
67,11884,53,2.0,12614,False
68,13247,46,2.0,14950,False
69,19948,64,2.0,13504,False
70,2257,129,5.0,47601,False
71,14386,98,5.0,27930,False
72,15170,38,4.0,11970,True
73,14257,76,4.0,15276,False
74,2225,105,7.0,41265,False
75,10446,36,2.0,12960,False
76,10878,45,4.0,17550,True
77,3320,110,5.0,42240,False
78,6043,119,5.0,27251,False
79,666,89,4.0,31595,False
80,13582,113,6.0,23730,False
81,6075,44,2.0,15092,False
82,14052,111,6.0,24198,False
83,18102,48,4.0,18576,True
84,18064,89,4.0,17889,True
85,4298,103,5.0,40067,False
86,10186,118,5.0,41536,False
87,12208,126,4.0,28224,True
88,19922,68,4.0,15300,False
89,1086,49,2.0,11319,False
90,18190,94,4.0,22560,True
91,13046,46,2.0,17894,False
92,15367,110,5.0,34980,False
93,6079,88,4.0,32120,False
94,13448,30,1.0,6870,False
95,3512,109,6.0,23108,False
96,9548,83,4.0,25896,False
97,2686,109,5.0,31174,False
98,9432,48,2.0,16944,False
99,13947,116,4.0,36424,True
100,8644,68,4.0,26452,False
101,4771,65,4.0,15210,False
102,15058,34,2.0,7446,False
103,3880,64,4.0,16064,False
104,10564,99,5.0,34254,False
105,16328,33,1.0,12309,False
106,6588,104,4.0,39000,True
107,12773,32,1.0,10016,False
108,19505,72,3.0,15912,False
109,19041,41,1.0,11316,False
110,18568,118,5.0,43542,False
111,9731,93,5.0,20832,False
112,13541,47,1.0,18283,False
113,3666,117,5.0,25506,False
114,1802,72,3.0,17928,False
115,9484,110,6.0,38940,False
116,17819,41,2.0,15170,False
117,7623,104,6.0,38480,False
118,9789,44,1.0,17336,False
119,12623,52,2.0,13364,False
120,7147,110,4.0,38830,False
121,13257,105,4.0,39270,False
122,19411,104,5.0,21424,False
123,15104,88,5.0,31768,False
124,2721,109,4.0,24852,True
125,8685,71,3.0,18673,False
126,4583,67,3.0,17286,False
127,8583,121,6.0,34848,False
128,1926,73,4.0,14892,True
129,3853,127,6.0,44577,False
130,2062,43,2.0,12427,False
131,15825,68,4.0,23256,False
132,19600,58,2.0,14848,False
133,1728,33,1.0,10032,False
134,6534,67,3.0,24522,False
135,16770,51,2.0,17697,False
136,8578,94,3.0,25568,False
137,861,127,4.0,30353,True
138,337,114,4.0,36138,False
139,7267,110,6.0,37510,False
140,3070,116,6.0,31088,False
141,8333,73,4.0,14892,False
142,14733,37,1.0,11507,False
143,17089,55,2.0,19030,False
144,12693,46,4.0,18170,True
145,1342,54,3.0,18846,False
146,52,76,5.0,16492,False
147,12648,49,3.0,12691,False
148,5654,111,4.0,26751,False
149,11781,91,5.0,26117,False
150,2216,80,3.0,30000,False
151,3038,87,5.0,18966,False
152,15785,86,4.0,19866,False
153,15368,92,5.0,24932,False
154,4963,73,3.0,28981,False
155,5983,128,5.0,48256,False
156,6164,34,1.0,11322,False
157,15330,37,1.0,7807,False
158,6384,50,2.0,18400,False
159,2052,112,6.0,33712,False
160,13157,116,6.0,34452,False
161,18705,52,2.0,19552,False
162,9053,114,5.0,27702,False
163,3850,110,5.0,36740,False
164,1156,73,3.0,23579,False
165,12073,45,1.0,9405,False
166,1105,72,3.0,25056,False
167,3969,49,3.0,17003,False
168,11162,59,2.0,12862,False
169,12321,117,6.0,35685,False
170,1268,118,7.0,25370,False
171,11330,30,1.0,8520,False
172,8101,39,4.0,11583,True
173,6032,96,4.0,30912,False
174,6654,66,4.0,23628,False
175,10550,57,3.0,21888,False
176,15252,71,3.0,24353,False
177,16213,113,5.0,27233,False
178,17923,62,2.0,16678,False
179,14420,116,4.0,27840,False
180,1990,85,4.0,22015,False
181,5654,32,1.0,10624,False
182,13529,51,2.0,17493,False
183,18430,118,7.0,32922,False
184,13546,31,1.0,6975,False
185,9600,47,3.0,16826,False
186,11809,75,3.0,26700,False
187,4393,73,4.0,27229,True
188,18140,90,6.0,18900,False
189,10006,111,5.0,31746,False
190,5689,83,4.0,17347,False
191,5980,73,3.0,28397,False
192,6825,67,4.0,17822,True
193,19633,125,6.0,32250,False
194,5952,81,4.0,29970,False
195,13590,120,6.0,41520,False
196,8295,94,4.0,32054,False
197,3203,112,4.0,41104,True
198,4639,49,2.0,19551,False
199,19593,81,4.0,16686,False
200,15513,65,3.0,22555,False
201,2359,57,2.0,13680,False
202,11051,43,2.0,13588,False
203,6786,55,4.0,11330,True
204,5166,53,3.0,18656,False
205,15415,82,3.0,18614,False
206,12265,76,3.0,28652,False
207,11275,39,1.0,10413,False
208,1562,121,7.0,46101,False
209,8491,47,1.0,14053,False
210,3730,96,4.0,33408,False
211,3198,70,4.0,14770,False
212,13211,51,3.0,12444,False
213,4406,108,4.0,24840,False
214,4021,74,4.0,25826,False
215,12348,69,3.0,21597,False
216,14210,49,2.0,14455,False
217,1637,110,5.0,29370,False
218,8929,124,5.0,49104,False
219,10225,64,4.0,16512,True
220,16481,70,3.0,14000,False
221,4878,106,4.0,41340,False
222,12558,42,2.0,15582,False
223,17454,69,4.0,21735,False
224,19455,90,3.0,27270,False
225,14060,113,5.0,41245,False
226,7991,118,5.0,34456,False
227,10197,36,1.0,10476,False
228,19762,105,4.0,35070,False
229,3840,97,4.0,23377,False
230,4358,102,6.0,25602,False
231,18534,71,3.0,25489,False
232,1311,123,5.0,45141,False
233,6608,35,2.0,13020,False
234,13561,82,5.0,23698,False
235,3481,47,2.0,12126,False
236,15175,64,4.0,19456,False
237,9988,81,4.0,26892,False
238,11860,102,4.0,24888,False
239,13619,74,3.0,25752,False
240,1071,42,2.0,15498,False
241,11793,114,7.0,31122,False
242,15444,49,2.0,11417,False
243,2373,123,6.0,41697,False
244,10465,51,2.0,13923,False
245,2673,79,5.0,21093,False
246,19720,57,2.0,14877,False
247,7364,95,5.0,30115,False
248,17528,36,1.0,8352,False
249,3448,53,2.0,19080,False
250,10260,104,4.0,30056,True
251,17179,64,4.0,16320,False
252,5620,82,3.0,30012,False
253,15162,112,6.0,43456,False
254,5338,42,2.0,9114,False
255,19281,43,2.0,14405,False
256,8581,93,5.0,22413,False
257,6903,57,2.0,11913,False
258,2747,96,6.0,20160,False
259,16356,67,3.0,13467,False
260,16194,126,6.0,37044,False
261,1395,89,3.0,34799,False
262,8144,107,5.0,30281,False
263,5455,41,1.0,11111,False
264,9439,106,5.0,32648,False
265,9589,96,4.0,27840,False
266,6240,93,4.0,22971,False
267,5327,86,4.0,18318,False
268,12962,46,2.0,15456,False
269,13202,88,4.0,18568,False
270,18909,91,3.0,19201,False
271,12400,41,2.0,8856,False
272,781,115,6.0,36455,False
273,9811,38,2.0,11020,False
274,12658,95,5.0,23085,False
275,2813,69,4.0,24426,False
276,5816,100,6.0,22500,False
277,3981,30,1.0,10410,False
278,11520,114,4.0,33516,False
279,13553,122,7.0,31842,False
280,12867,67,3.0,23517,False
281,16278,103,4.0,23896,False
282,1062,88,4.0,25960,False
283,18762,115,6.0,28405,False
284,16790,99,4.0,26928,False
285,17130,103,4.0,37286,False
286,9836,115,5.0,41975,False
287,18672,106,4.0,36994,False
288,1426,105,5.0,29295,False
289,16101,124,6.0,36084,False
290,14384,121,7.0,46464,False
291,2476,116,5.0,28188,False
292,6714,97,5.0,19497,False
293,18753,69,4.0,20148,False
294,10751,99,6.0,24255,False
295,8404,128,6.0,41984,False
296,16559,68,2.0,23596,False
297,10653,51,3.0,12087,False
298,15662,129,6.0,47085,False
299,18282,34,2.0,10166,False
300,7179,51,3.0,16728,False
301,2210,54,3.0,13554,False
302,2646,79,4.0,25754,True
303,1333,83,4.0,31291,False
304,16474,79,4.0,26307,False
305,6609,93,3.0,27063,False
306,12425,64,2.0,13056,False
307,4096,33,2.0,11880,False
308,12223,62,3.0,12400,False
309,3041,94,4.0,27354,True
310,8514,107,6.0,39162,False
311,4637,50,4.0,17400,True
312,10937,93,3.0,19902,False
313,14755,85,5.0,32980,False
314,242,104,4.0,23608,False
315,1895,78,3.0,26442,False
316,4414,83,5.0,16849,False
317,19604,126,8.0,46872,False
318,1659,64,3.0,18496,False
319,974,96,4.0,31872,False
320,15651,51,2.0,13464,False
321,6305,79,3.0,26702,False
322,9136,53,2.0,21041,False
323,3808,99,6.0,31482,False
324,13964,39,2.0,10959,False
325,10719,98,5.0,31654,False
326,6550,119,4.0,36176,True
327,1460,96,4.0,37152,False
328,9326,31,1.0,7781,False
329,18770,36,2.0,7200,False
330,5694,75,3.0,28575,False
331,8149,56,3.0,21672,False
332,13257,41,2.0,15129,False
333,12265,43,2.0,17028,False
334,7847,68,2.0,16252,False
335,14935,68,4.0,18292,False
336,16420,105,5.0,41160,False
337,18537,124,6.0,40548,False
338,19308,101,4.0,35047,False
339,17328,115,7.0,24380,False
340,2039,89,4.0,23852,False
341,18959,75,3.0,16425,False
342,17124,44,1.0,12848,False
343,7879,74,4.0,23680,False
344,6759,38,2.0,10982,False
345,2918,125,7.0,49250,False
346,2415,65,3.0,22295,False
347,17305,129,8.0,42312,False
348,2521,88,4.0,17952,False
349,10804,117,6.0,41769,False
350,11584,56,3.0,12432,False
351,9643,87,4.0,26796,False
352,9033,55,3.0,12210,False
353,5079,127,4.0,44323,True
354,866,121,5.0,46948,False
355,1353,113,7.0,36047,False
356,13940,74,3.0,22644,False
357,11995,71,4.0,26270,False
358,10608,33,1.0,10725,False
359,15754,36,1.0,9684,False
360,8666,44,2.0,16104,False
361,8036,108,4.0,38124,False
362,7171,89,5.0,20648,False
363,4426,87,4.0,29667,False
364,10913,35,1.0,13965,False
365,333,109,4.0,38695,False
366,6387,122,5.0,25010,False
367,16258,113,5.0,29267,False
368,15649,65,2.0,13650,False
369,12377,53,2.0,20829,False
370,10030,91,3.0,30667,False
371,13918,127,6.0,32004,False
372,9841,61,2.0,20618,False
373,4027,109,5.0,35425,False
374,5152,105,4.0,36015,False
375,18407,101,5.0,21513,False
376,7214,74,4.0,26344,False
377,693,129,5.0,50955,False
378,15455,45,4.0,14850,True
379,8902,63,2.0,19530,False
380,17141,104,6.0,37128,False
381,9353,111,7.0,22533,False
382,17296,73,3.0,19126,False
383,1019,36,2.0,9108,False
384,7896,124,5.0,24800,False
385,2490,61,4.0,13786,True
386,10053,39,1.0,10881,False
387,3438,124,5.0,34968,False
388,13550,110,5.0,29150,False
389,10987,47,1.0,14194,False
390,19908,94,3.0,32806,False
391,18907,94,5.0,37224,False
392,5471,83,4.0,22825,False
393,10958,89,3.0,35511,False
394,13083,116,5.0,40832,False
395,8492,67,2.0,22847,False
396,9156,51,2.0,12342,False
397,6273,95,4.0,34295,False
398,2270,96,5.0,36192,False
399,9137,123,7.0,29397,False
400,13700,84,4.0,18060,False
401,18577,55,3.0,20515,False
402,1520,69,3.0,18561,False
403,19964,82,5.0,24272,False
404,14321,84,3.0,22176,False
405,16453,63,2.0,24822,False
406,6008,102,4.0,22848,False
407,18488,100,4.0,36400,False
408,12581,96,5.0,27648,False
409,12273,89,4.0,34265,False
410,780,30,4.0,8190,True
411,12372,51,2.0,11424,False
412,4036,47,3.0,16497,False
413,18862,32,2.0,10304,False
414,11864,50,2.0,18350,False
415,6110,101,5.0,33128,False
416,15434,45,2.0,15255,False
417,5135,63,4.0,18333,False
418,13305,91,3.0,34580,False
419,5247,67,2.0,21775,False
420,19187,81,4.0,28269,False
421,11451,78,3.0,18096,False
422,12040,40,2.0,8320,False
423,18861,58,2.0,18966,False
424,15884,98,4.0,20188,False
425,10246,91,6.0,26754,False
426,706,50,2.0,10250,False
427,16860,87,5.0,18531,False
428,8637,115,4.0,42320,True
429,13407,92,4.0,33580,False
430,4502,53,2.0,10653,False
431,16831,85,4.0,31280,False
432,12496,32,2.0,11584,False
433,16711,68,2.0,14620,False
434,14931,72,3.0,27072,False
435,14069,53,2.0,16695,False
436,7332,116,4.0,40252,False
437,2418,63,3.0,23121,False
438,7748,127,7.0,37084,False
439,7755,91,4.0,33397,False
440,14593,41,4.0,9553,True
441,19843,59,3.0,16107,False
442,6261,106,5.0,21836,False
443,16107,53,3.0,16218,False
444,5477,40,2.0,9200,False
445,2942,35,4.0,9590,True
446,17119,120,7.0,43560,False
447,8595,85,4.0,33745,False
448,9542,92,4.0,36708,True
449,15074,41,4.0,9266,True
450,18668,32,1.0,10016,False
451,7369,92,4.0,26496,False
452,3539,128,8.0,33280,False
453,750,32,4.0,12736,True
454,8929,56,3.0,13160,False
455,14421,80,3.0,23920,False
456,12193,70,3.0,15680,False
457,318,43,2.0,12470,False
458,6348,88,3.0,29128,False
459,1171,57,3.0,12882,False
460,856,81,4.0,19845,False
461,14592,82,4.0,19270,False
462,16319,41,1.0,14842,False
463,142,88,4.0,33440,False
464,6406,106,5.0,29256,False
465,4762,38,1.0,9272,False
466,9270,124,5.0,36332,False
467,6460,79,3.0,25043,False
468,4877,34,4.0,8874,True
469,9898,71,3.0,15762,False
470,15100,49,2.0,17542,False
471,13697,68,3.0,16728,False
472,18572,129,7.0,34056,False
473,15100,44,2.0,17336,False
474,9877,111,4.0,32856,False
475,6470,59,2.0,12744,False
476,12472,92,6.0,27416,False
477,11082,126,6.0,34020,False
478,17234,99,4.0,38313,False
479,5278,31,1.0,11811,False
480,19014,84,3.0,26964,False
481,6958,105,4.0,25200,False
482,7939,67,3.0,20100,False
483,4473,81,3.0,28755,False
484,18441,95,4.0,29260,True
485,9351,41,1.0,8979,False
486,1573,85,3.0,21930,False
487,18793,88,3.0,20504,False
488,18655,67,4.0,24656,True
489,6366,116,7.0,34220,False
490,15873,88,4.0,32120,False
491,15331,78,3.0,21684,False
492,1304,37,2.0,7881,False
493,6237,105,4.0,34230,True
494,6268,89,4.0,26077,False
495,7654,76,3.0,20976,False
496,12151,91,4.0,34034,False
497,2465,68,4.0,17272,False
498,11303,62,2.0,20398,False
499,8346,96,4.0,34176,False
500,19252,53,2.0,15423,False
501,15629,87,5.0,22272,False
502,18432,112,4.0,23184,False
503,19836,110,7.0,34210,False
504,6099,81,5.0,24624,False
505,17390,104,5.0,39416,False
506,10648,96,6.0,29088,False
507,11972,117,5.0,27378,False
