ID,ID_person,Model,Power,Price,Power_indicator
0,6823,LADA,112.0,373960,False
1,2586,Toyota,281.0,3853381,True
2,17397,Toyota,485.0,2728373,False
3,6843,Daewoo,96.0,923377,False
4,17264,Subaru,281.0,3176388,True
5,18666,Subaru,232.0,3156028,False
6,9369,KIA,467.0,2357142,False
7,10603,KIA,215.0,3923369,False
8,4324,Mercedez-Benz,267.0,3914849,False
9,7380,KIA,348.0,2995054,False
10,6645,Daewoo,428.0,636575,False
11,2538,Nissan,281.0,3492385,True
12,18173,KIA,281.0,3576619,True
13,11707,Mercedez-Benz,251.0,3593542,False
14,19013,Subaru,446.0,2890876,False
15,18736,Toyota,430.0,2193626,False
16,2957,Ford,308.0,2167110,False
17,14042,Subaru,280.0,656360,False
18,11178,Subaru,303.0,1739920,False
19,8942,Infiniti,280.0,434263,False
20,17987,Ford,314.0,2514113,False
21,906,Toyota,460.0,555917,False
22,2672,KIA,281.0,1986822,True
23,19852,BMW,163.0,918165,False
24,3083,Ford,272.0,2310968,False
25,17751,Subaru,425.0,2636671,False
26,15802,Audi,106.0,3263098,False
27,4402,Toyota,299.0,1368324,False
28,7375,BMW,94.0,2211358,False
29,8859,LADA,230.0,3618399,False
30,4512,KIA,435.0,1446196,False
31,18176,LADA,405.0,3236720,False
32,12372,Infiniti,367.0,3674590,False
33,8621,Nissan,274.0,697831,False
34,9753,Subaru,240.0,220548,False
35,15601,Subaru,364.0,582093,False
36,6552,Infiniti,211.0,3735619,False
37,3442,Subaru,134.0,3390517,False
38,16380,KIA,188.0,3986991,False
39,16889,Audi,250.0,2521319,False
40,13702,Nissan,421.0,665465,False
41,3139,Mercedez-Benz,335.0,1127436,False
42,7,Subaru,163.0,3938379,False
43,7019,Infiniti,490.0,3140925,False
44,18299,Mercedez-Benz,390.0,1698711,False
45,18147,BMW,335.0,363191,False
46,14625,Ford,416.0,1080071,False
47,19297,Mercedez-Benz,70.0,568396,False
48,7592,Subaru,245.0,2220686,False
